first,second,third
arise,arose,arisen
awake,awoke,awoken
be,was/were,been
bear,bore,born
beat,beat,beaten
become,became,become
begin,began,begun
bend,bent,bent
bet,bet,bet
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burnt/burned,burnt/burned
burst,burst,burst
buy,bought,bought
can,could,been able
catch,caught,caught
choose,chose,chosen
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
do,did,done
draw,drew,drawn
dream,dreamt/dreamed,dreamt/dreamed
drive,drove,driven
drink,drank,drunk
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fly,flew,flown
forbid,forbade,forbidden
forget,forgot,forgotten
forgive,forgave,forgiven
freeze,froze,frozen
get,got,gotten
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
know,knew,known
lay,laid,laid
lead,led,led
learn,learnt/learned,learnt/learned
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lit/lighted,lit/lighted
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
pay,paid,paid
put,put,put
read,read,read
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
say,said,said
see,saw,seen
sell,sold,sold
send,sent,sent
set,set,set
shake,shook,shaken
shine,shone,shone
shoot,shot,shot
show,showed,shown
shut,shut,shut
sing,sang,sung
sink,sank,sunk
sit,sat,sat
sleep,slept,slept
slide,slid,slid
speak,spoke,spoken
spend,spent,spent
spit,spat,spat
spread,spread,spread
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
strike,struck,struck
swear,swore,sworn
sweep,swept,swept
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
throw,threw,thrown
understand,understood,understood
wake,woke,woken
wear,wore,worn
win,won,won
write,wrote,written
accept,accepted,accepted
add,added,added
admire,admired,admired
admit,admitted,admitted
advise,advised,advised
afford,afforded,afforded
agree,agreed,agreed
alert,alerted,alerted
allow,allowed,allowed
amuse,amused,amused
analyse,analysed,analysed
announce,announced,announced
annoy,annoyed,annoyed
answer,answered,answered
apologise,apologised,apologised
appear,appeared,appeared
applaud,applauded,applauded
appreciate,appreciated,appreciated
approve,approved,approved
argue,argued,argued
arrange,arranged,arranged
arrest,arrested,arrested
arrive,arrived,arrived
ask,asked,asked
attach,attached,attached
attack,attacked,attacked
attempt,attempted,attempted
attend,attended,attended
attract,attracted,attracted
avoid,avoided,avoided
back,backed,backed
bake,baked,baked
balance,balanced,balanced
ban,banned,banned
bang,banged,banged
bare,bared,bared
bat,batted,batted
bathe,bathed,bathed
battle,battled,battled
beam,beamed,beamed
beg,begged,begged
behave,behaved,behaved
belong,belonged,belonged
bleach,bleached,bleached
bless,blessed,blessed
blind,blinded,blinded
blink,blinked,blinked
blot,blotted,blotted
blush,blushed,blushed
boast,boasted,boasted
boil,boiled,boiled
bolt,bolted,bolted
bomb,bombed,bombed
book,booked,booked
bore,bored,bored
borrow,borrowed,borrowed
bounce,bounced,bounced
bow,bowed,bowed
box,boxed,boxed
brake,braked,braked
branch,branched,branched
breathe,breathed,breathed
bruise,bruised,bruised
brush,brushed,brushed
bubble,bubbled,bubbled
bump,bumped,bumped
bury,buried,buried
buzz,buzzed,buzzed
calculate,calculated,calculated
call,called,called
camp,camped,camped
care,cared,cared
carry,carried,carried
carve,carved,carved
cause,caused,caused
challenge,challenged,challenged
change,changed,changed
charge,charged,charged
chase,chased,chased
cheat,cheated,cheated
check,checked,checked
cheer,cheered,cheered
chew,chewed,chewed
choke,choked,choked
chop,chopped,chopped
claim,claimed,claimed
clap,clapped,clapped
clean,cleaned,cleaned
clear,cleared,cleared
clip,clipped,clipped
close,closed,closed
coach,coached,coached
coil,coiled,coiled
collect,collected,collected
colour,coloured,coloured
comb,combed,combed
command,commanded,commanded
communicate,communicated,communicated
compare,compared,compared
compete,competed,competed
complain,complained,complained
complete,completed,completed
concentrate,concentrated,concentrated
concern,concerned,concerned
confess,confessed,confessed
confuse,confused,confused
connect,connected,connected
consider,considered,considered
consist,consisted,consisted
contain,contained,contained
continue,continued,continued
copy,copied,copied
correct,corrected,corrected
cough,coughed,coughed
count,counted,counted
cover,covered,covered
crack,cracked,cracked
crash,crashed,crashed
crawl,crawled,crawled
cross,crossed,crossed
crush,crushed,crushed
cry,cried,cried
cure,cured,cured
curl,curled,curled
curve,curved,curved
cycle,cycled,cycled
dam,dammed,dammed
damage,damaged,damaged
dance,danced,danced
dare,dared,dared
decay,decayed,decayed
deceive,deceived,deceived
decide,decided,decided
decorate,decorated,decorated
delay,delayed,delayed
delight,delighted,delighted
deliver,delivered,delivered
depend,depended,depended
describe,described,described
desert,deserted,deserted
deserve,deserved,deserved
destroy,destroyed,destroyed
detect,detected,detected
develop,developed,developed
disagree,disagreed,disagreed
disappear,disappeared,disappeared
disapprove,disapproved,disapproved
disarm,disarmed,disarmed
discover,discovered,discovered
dislike,disliked,disliked
divide,divided,divided
double,doubled,doubled
doubt,doubted,doubted
drag,dragged,dragged
drain,drained,drained
drown,drowned,drowned
drum,drummed,drummed
dry,dried,dried
dust,dusted,dusted
earn,earned,earned
educate,educated,educated
embarrass,embarrassed,embarrassed
employ,employed,employed
empty,emptied,emptied
encourage,encouraged,encouraged
end,ended,ended
enjoy,enjoyed,enjoyed
enter,entered,entered
entertain,entertained,entertained
escape,escaped,escaped
examine,examined,examined
excite,excited,excited
excuse,excused,excused
exercise,exercised,exercised
exist,existed,existed
expand,expanded,expanded
expect,expected,expected
explain,explained,explained
explode,exploded,exploded
extend,extended,extended
face,faced,faced
fade,faded,faded
fail,failed,failed
fancy,fancied,fancied
fasten,fastened,fastened
fax,faxed,faxed
fear,feared,feared
fence,fenced,fenced
fetch,fetched,fetched
file,filed,filed
fill,filled,filled
film,filmed,filmed
fire,fired,fired
fit,fitted,fitted
fix,fixed,fixed
flap,flapped,flapped
flash,flashed,flashed
float,floated,floated
flood,flooded,flooded
flow,flowed,flowed
flower,flowered,flowered
fold,folded,folded
follow,followed,followed
fool,fooled,fooled
force,forced,forced
form,formed,formed
found,founded,founded
frame,framed,framed
frighten,frightened,frightened
fry,fried,fried
gather,gathered,gathered
gaze,gazed,gazed
glow,glowed,glowed
glue,glued,glued
grab,grabbed,grabbed
grate,grated,grated
grease,greased,greased
greet,greeted,greeted
grin,grinned,grinned
grip,gripped,gripped
groan,groaned,groaned
guarantee,guaranteed,guaranteed
guard,guarded,guarded
guess,guessed,guessed
guide,guided,guided
hammer,hammered,hammered
hand,handed,handed
handle,handled,handled
happen,happened,happened
harass,harassed,harassed
harm,harmed,harmed
hate,hated,hated
haunt,haunted,haunted
head,headed,headed
heal,healed,healed
heap,heaped,heaped
heat,heated,heated
help,helped,helped
hook,hooked,hooked
hop,hopped,hopped
hope,hoped,hoped
hover,hovered,hovered
hug,hugged,hugged
hum,hummed,hummed
hunt,hunted,hunted
hurry,hurried,hurried
identify,identified,identified
ignore,ignored,ignored
imagine,imagined,imagined
impress,impressed,impressed
improve,improved,improved
include,included,included
increase,increased,increased
influence,influenced,influenced
inform,informed,informed
inject,injected,injected
injure,injured,injured
instruct,instructed,instructed
intend,intended,intended
interest,interested,interested
interfere,interfered,interfered
interrupt,interrupted,interrupted
introduce,introduced,introduced
invent,invented,invented
invite,invited,invited
irritate,irritated,irritated
itch,itched,itched
jail,jailed,jailed
jam,jammed,jammed
jog,jogged,jogged
join,joined,joined
joke,joked,joked
judge,judged,judged
juggle,juggled,juggled
